Time Distance Ego_vehicle_velocity Leading_vehicle_velocity
4.170854271356783727e+01 1.777900152294740010e+01 9.952959372087176959e+00 1.000000000000000000e+01
4.195979899497486798e+01 1.779048134504633438e+01 9.955630051347680975e+00 1.000000000000000000e+01
4.221105527638190580e+01 1.780131296968060894e+01 9.958121688216477807e+00 1.000000000000000000e+01
4.246231155778894362e+01 1.781153944648862719e+01 9.960449411534025188e+00 1.000000000000000000e+01
4.271356783919597433e+01 1.782120022685652216e+01 9.962626768279044143e+00 1.000000000000000000e+01
4.296482412060301215e+01 1.783033153706379892e+01 9.964665912725973129e+00 1.000000000000000000e+01
4.321608040201004997e+01 1.783896670701479081e+01 9.966577771398561936e+00 1.000000000000000000e+01
4.346733668341708068e+01 1.784713646022468225e+01 9.968372187026275810e+00 1.000000000000000000e+01
4.371859296482411850e+01 1.785486916997914619e+01 9.970058044274688669e+00 1.000000000000000000e+01
4.396984924623114921e+01 1.786219108593869009e+01 9.971643379646414118e+00 1.000000000000000000e+01
4.422110552763818703e+01 1.786912653489814673e+01 9.973135477626332346e+00 1.000000000000000000e+01
4.447236180904522485e+01 1.787569809892654860e+01 9.974540954866686349e+00 1.000000000000000000e+01
4.472361809045225556e+01 1.788192677369237416e+01 9.975865833967484164e+00 1.000000000000000000e+01
4.497487437185929338e+01 1.788783210941500812e+01 9.977115608200415764e+00 1.000000000000000000e+01
4.522613065326632409e+01 1.789343233656757093e+01 9.978295298345347675e+00 1.000000000000000000e+01
4.547738693467336191e+01 1.789874447818243297e+01 9.979409502653622255e+00 1.000000000000000000e+01
4.572864321608039972e+01 1.790378445037318045e+01 9.980462440818440584e+00 1.000000000000000000e+01
4.597989949748743044e+01 1.790856715248049724e+01 9.981457992716677552e+00 1.000000000000000000e+01
4.623115577889446826e+01 1.791310654807030645e+01 9.982399732586072716e+00 1.000000000000000000e+01
4.648241206030150607e+01 1.791741573785689567e+01 9.983290959214814464e+00 1.000000000000000000e+01
4.673366834170853679e+01 1.792150702548842389e+01 9.984134722645126914e+00 1.000000000000000000e+01
4.698492462311557460e+01 1.792539197701464460e+01 9.984933847827173636e+00 1.000000000000000000e+01
4.723618090452261242e+01 1.792908147475426262e+01 9.985690955602875007e+00 1.000000000000000000e+01
4.748743718592964314e+01 1.793258576619035694e+01 9.986408481350123267e+00 1.000000000000000000e+01
4.773869346733668095e+01 1.793591450844470714e+01 9.987088691575165100e+00 1.000000000000000000e+01
4.798994974874371167e+01 1.793907680881433819e+01 9.987733698703896934e+00 1.000000000000000000e+01
4.824120603015074948e+01 1.794208126179475116e+01 9.988345474290641235e+00 1.000000000000000000e+01
4.849246231155778730e+01 1.794493598296293513e+01 9.988925860835028203e+00 1.000000000000000000e+01
4.874371859296481801e+01 1.794764864004854132e+01 9.989476582373301383e+00 1.000000000000000000e+01
4.899497487437185583e+01 1.795022648148248123e+01 9.989999253989280348e+00 1.000000000000000000e+01
4.924623115577888655e+01 1.795267636267810829e+01 9.990495390371824769e+00 1.000000000000000000e+01
4.949748743718592436e+01 1.795500477027028907e+01 9.990966413529690726e+00 1.000000000000000000e+01
4.974874371859296218e+01 1.795721784451165703e+01 9.991413659760782551e+00 1.000000000000000000e+01
5.000000000000000000e+01 1.795932140000245170e+01 9.991838385960678082e+00 1.000000000000000000e+01
